"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
456501,"Cueto, Johnny","Pit",145,1097,1097,742,15.657,355,15.657,0.31358249772105745,0.6107566089334548,0.07566089334548769
608379,"Wacha, Michael","Pit",111,861,861,588,15.658,273,15.658,0.27177700348432055,0.6782810685249709,0.04994192799070848
641672,"Hatch, Thomas","Pit",141,25,25,9,15.658,16,15.658,0.16,0.8,0.04
656412,"Faedo, Alex","Pit",116,446,446,246,15.668,200,15.668,0.21748878923766815,0.7466367713004485,0.03587443946188341
668338,"Miller, Tyson","Pit",140,110,110,54,15.672,56,15.672,0.21818181818181817,0.7545454545454545,0.02727272727272727
669461,"Liberatore, Matthew","Pit",138,313,313,159,15.684,154,15.684,0.21405750798722045,0.7412140575079872,0.04472843450479233
663455,"Pilkington, Konnor","Pit",114,483,483,274,15.686,209,15.686,0.22153209109730848,0.7556935817805382,0.022774327122153208
491624,"Valdez, César","Pit",108,5,5,4,15.726,1,15.726,0.2,0.8,0
664141,"Brubaker, JT","Pit",134,1081,1081,647,15.733,434,15.733,0.2627197039777983,0.7095282146160962,0.027752081406105456
658648,"Avila, Pedro","Pit",135,32,32,17,15.75,15,15.75,0.15625,0.71875,0.125
605288,"Houser, Adrian","Pit",158,905,905,548,15.754,357,15.754,0.23314917127071824,0.7116022099447514,0.055248618784530384
661527,"Martinez, Seth","Pit",117,271,271,159,15.757,112,15.757,0.24723247232472326,0.7158671586715867,0.03690036900369004
571446,"Appel, Mark","Pit",143,81,81,46,15.776,35,15.776,0.19753086419753085,0.7901234567901234,0.012345679012345678
669212,"Morgan, Eli","Pit",114,436,436,282,15.78,154,15.78,0.2706422018348624,0.6651376146788991,0.06422018348623854
670810,"Gillaspie, Logan","Pit",110,125,125,73,15.782,52,15.782,0.216,0.712,0.072
669373,"Skubal, Tarik","Pit",116,854,854,557,15.802,297,15.802,0.24355971896955503,0.724824355971897,0.03161592505854801
681806,"Wantz, Andrew","Pit",108,385,385,217,15.819,168,15.819,0.24155844155844156,0.6909090909090909,0.06753246753246753
676886,"Beasley, Jeremy","Pit",141,113,113,67,15.822,46,15.822,0.25663716814159293,0.7256637168141593,0.017699115044247787
664042,"Lakins Sr., Travis","Pit",110,92,92,54,15.822,38,15.822,0.17391304347826086,0.782608695652174,0.043478260869565216
