last_name, first_name,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
Buxton, Byron,621439,MIN,142,CF,23,R,0.00,0.53,0.81,1.06,1.28,1.49,1.69,1.88,2.06,2.23,2.40,2.57,2.73,2.90,3.06,3.22,3.38,3.54,3.71
Báez, Javier,595879,CHC,112,SS,24,R,0.00,0.55,0.85,1.10,1.34,1.56,1.77,1.97,2.16,2.34,2.52,2.70,2.87,3.05,3.22,3.39,3.55,3.72,3.90
Cabrera, Asdrúbal,452678,NYM,121,SS,31,R,0.00,0.56,0.88,1.16,1.42,1.66,1.88,2.10,2.30,2.50,2.70,2.89,3.08,3.27,3.46,3.64,3.83,4.02,4.22
Cabrera, Asdrúbal,452678,NYM,121,SS,31,L,0.00,0.53,0.85,1.13,1.39,1.63,1.86,2.07,2.28,2.48,2.68,2.88,3.07,3.27,3.46,3.66,3.86,4.07,4.29
Cabrera, Melky,466320,KC,118,LF,32,L,0.00,0.55,0.84,1.11,1.36,1.59,1.81,2.02,2.22,2.41,2.60,2.79,2.98,3.16,3.34,3.53,3.71,3.91,4.11
Cabrera, Melky,466320,KC,118,LF,32,R,0.00,0.55,0.86,1.14,1.39,1.63,1.85,2.07,2.27,2.47,2.66,2.85,3.04,3.22,3.41,3.59,3.78,3.97,4.17
Cabrera, Miguel,408234,DET,116,1B,34,R,0.00,0.56,0.89,1.18,1.44,1.69,1.92,2.14,2.35,2.55,2.76,2.96,3.15,3.35,3.54,3.74,3.94,4.14,4.35
Cain, Lorenzo,456715,KC,118,CF,31,R,0.00,0.55,0.85,1.10,1.34,1.56,1.77,1.97,2.15,2.34,2.51,2.69,2.86,3.03,3.20,3.37,3.53,3.70,3.87
Calhoun, Kole,594777,LAA,108,RF,29,L,0.00,0.53,0.82,1.09,1.34,1.58,1.80,2.01,2.21,2.40,2.60,2.79,2.97,3.16,3.35,3.53,3.72,3.92,4.12
Calhoun, Willie,641432,TEX,140,LF,22,L,0.00,0.53,0.84,1.12,1.37,1.61,1.83,2.04,2.25,2.45,2.64,2.84,3.03,3.22,3.41,3.59,3.79,3.99,4.20
Calixte, Orlando,593525,SF,137,LF,25,R,0.00,0.57,0.87,1.14,1.38,1.61,1.82,2.02,2.21,2.39,2.57,2.75,2.92,3.10,3.27,3.43,3.60,3.76,3.94
