Year,Last_Name, first_name,4_Seamer_T,Sinker_T,Cutter_T,Slider_T,Changeup_T,Curve_T,Splitter_T,Knuckle_T
2017,Lester, Jon,90.18811978255548,91.2867569006154,93.88603813354864,,97.43728307477035,109.03695963129061,,
2017,Martinez, Carlos,85.59910849559263,86.86189829426313,,96.63768051729859,93.88603813354864,103.03992685156962,,
2017,Scherzer, Max,87.6935547672933,88.1625042580275,93.77922807878919,96.52452164081463,97.43728307477035,106.50121638405129,,
2017,Pérez, Martín,88.44628914297822,88.63649621640397,,97.66817711049254,97.43728307477035,104.08073419350468,,
2017,Nolasco, Ricky,90.58455107830298,90.78407652120673,,101.76782898920457,,111.99992049083657,101.89362358622459,
2017,Severino, Luis,84.54558100641611,,,93.35440711353989,94.5320429830914,,,
2017,Corbin, Patrick,89.30871233072124,89.4055764438782,,101.89362358622459,98.72088800150384,,,
2017,Davies, Zach,,91.89737065914795,95.29704217486209,,103.81856609729937,112.30509738590693,,
2017,Teheran, Julio,90.18811978255548,90.48511688392504,,99.79653932355411,100.64950119811442,112.45831034277722,,
2017,Miley, Wade,90.18811978255548,91.08501821133227,93.4602511125348,98.83925837081019,99.3155921460912,107.05446945617624,,
2017,Straily, Dan,91.08501821133227,91.2867569006154,,98.48499579600443,98.83925837081019,112.15230133504178,,
2017,Pomeranz, Drew,90.18811978255548,92.41249044983823,95.18699940098811,,101.64234461313897,103.81856609729937,,
2017,Carrasco, Carlos,87.41457209040902,88.25689666087334,,96.52452164081463,93.248802580606,98.95791294268392,,
2017,Darvish, Yu,87.41457209040902,87.88053462820437,92.9334176789805,99.79653932355411,93.99309176882063,112.76599381840727,,
2017,Richard, Clayton,90.78407652120673,91.48939121116061,,101.14348648006835,98.48499579600443,,,
2017,Hammel, Jason,89.4055764438782,89.50265090255776,,97.09298172114923,96.86479610018297,106.36379545968478,,
2017,Kluber, Corey,88.92334571872243,89.11561241216833,92.62015896770303,,96.0745238709274,97.66817711049254,,
2017,Vargas, Jason,96.18662949971494,96.29899705754171,,,103.68797670598202,114.33001592407172,,
2017,Chacín, Jhoulys,90.18811978255548,90.48511688392504,,103.03992685156962,98.95791294268392,109.03695963129061,,
2017,Ureña, José,86.04586793450491,86.31616909032012,91.38796173088215,96.97875468383025,93.03830866958884,,,
2017,Moore, Matt,89.69743360310738,,92.41249044983823,,99.19607879814164,101.64234461313897,,
2017,Cobb, Alex,90.48511688392504,89.89306595556783,,,,102.39992730590771,96.29899705754171,
2017,Dickey, R.A.,98.60280081489918,,,,,,,106.6389928606154
2017,Bundy, Dylan,89.4055764438782,89.79514322576874,,99.3155921460912,98.60280081489918,110.64690131712175,,
2017,Tanaka, Masahiro,89.30871233072124,90.18811978255548,92.10272791201754,97.43728307477035,,107.3332571370517,94.10038981878505,
2017,Foltynewicz, Mike,86.49731530037326,86.49731530037326,,95.85109474564617,95.62870241444976,103.68797670598202,,
2017,Lackey, John,90.58455107830298,90.884169218584,99.91750482576448,,98.72088800150384,106.36379545968478,,
2017,Nelson, Jimmy,87.60036289187642,87.97432388607866,,93.14343670198386,94.10038981878505,97.78403497183358,,
2017,Walker, Taijuan,87.97432388607866,88.54129052766456,95.40733967737927,,,109.03695963129061,93.56633539302578,
2017,Arrieta, Jake,89.4055764438782,89.4055764438782,,93.77922807878919,94.423758855963,104.60906279347171,,
2017,Leake, Mike,90.98448287114317,91.38796173088215,92.72434362345973,101.76782898920457,97.55259346894167,105.14278250160167,,
2017,Ray, Robbie,87.50736887606762,88.25689666087334,,97.43728307477035,,100.89588920594332,,
2017,Wacha, Michael,86.67922342929096,86.67922342929096,90.884169218584,,93.88603813354864,107.75417187092249,,
2017,Kuhl, Chad,86.22588021051853,86.49731530037326,,93.14343670198386,92.9334176789805,100.03876393356275,,
2017,Manaea, Sean,,89.89306595556783,,103.16888796152153,98.83925837081019,,,
2017,Strasburg, Stephen,86.406647254985,86.77046471711128,,92.62015896770303,93.03830866958884,100.03876393356275,,
2017,Nola, Aaron,89.30871233072124,90.18811978255548,,,98.36747193467268,106.50121638405129,,
2017,Miranda, Aríel,89.50265090255776,,,102.27288024969691,,,98.36747193467268,
2017,Gray, Sonny,88.1625042580275,89.59993639266924,90.68420404978625,96.86479610018297,92.10272791201754,101.76782898920457,,
2017,Márquez, Germán,86.77046471711128,87.41457209040902,,94.85839065737134,96.29899705754171,102.27288024969691,,
2017,Zimmermann, Jordan,89.4055764438782,89.21205788014686,,94.74935802443186,95.51789279403907,102.01972955600955,,
