year,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,first_name,last_name,time_second_base,time_third_base
2021,83.6,0.76,Grayson,Greiner,206.9966315789474,146.6890105263158
2021,85.2,0.72,Elias,Díaz,203.10937089201877,143.93428732394364
2021,84.6,0.78,Cal,Raleigh,204.54986288416077,144.95509787234042
2021,81.2,0.72,Manny,Piña,213.11475862068966,151.0246463054187
2021,82.2,0.65,Alex,Jackson,210.5221216545012,149.18736350364964
2021,85.6,0.79,Ben,Rortvedt,202.16026168224303,143.2616971962617
2021,80.0,0.67,Jake,Rogers,216.31148,153.290016
2021,89.0,0.77,Jorge,Alfaro,194.43728539325843,137.7887784269663
2021,79.5,0.66,Mike,Zunino,217.67192955974843,154.25410415094336
2021,79.3,0.68,Reese,McGuire,218.2209129886507,154.64314350567466
2021,80.6,0.73,Jason,Castro,214.70122084367247,152.1488992555831
2021,79.0,0.63,Yan,Gomes,219.04959999999997,155.23039594936708
2021,86.1,0.71,Sean,Murphy,200.98627642276426,142.42974773519165
2021,84.5,0.74,Gary,Sanchez,204.79193372781066,145.1266423668639
2021,82.0,0.77,Kevan,Smith,211.03559024390245,149.5512351219512
2021,78.1,0.72,Dom,Nuñez,221.57385915492958,157.01922253521127
2021,79.9,0.72,Roberto,Perez,216.5822077596996,153.48186833541928
2021,86.7,0.77,Francisco,Mejía,199.59536793540943,141.44407474048444
2021,80.3,0.74,Andrew,Knizner,215.50334246575343,152.71732602739726
2021,80.3,0.69,Austin,Hedges,215.50334246575343,152.71732602739726
2021,78.4,0.66,Tomás,Nido,220.72599999999997,156.41838367346938
2021,78.6,0.75,Robinson,Chirinos,220.1643562340967,156.02037251908396
2021,80.9,0.75,Carson,Kelly,213.90504820766375,151.58468825710753
2021,81.8,0.71,Andrew,Knapp,211.5515696821516,149.91688606356968
2021,81.8,0.72,Buster,Posey,211.5515696821516,149.91688606356968
2021,81.2,0.75,Pedro,Severino,213.11475862068966,151.0246463054187
2021,76.4,0.71,Rob,Brantly,226.504167539267,160.5131057591623
2021,80.3,0.71,Alejandro,Kirk,215.50334246575343,152.71732602739726
2021,82.8,0.75,Eric,Haase,208.99659903381644,148.1062956521739
2021,83.2,0.76,Tyler,Stephenson,207.99180769230767,147.39424615384613
2021,83.1,0.74,Aramis,Garcia,208.24209867629364,147.57161588447653
2021,78.9,0.71,Nick,Fortes,219.32722940430924,155.42713916349805
2021,76.5,0.67,Dustin,Garneau,226.20808366013074,160.30328470588233
2021,81.9,0.71,Salvador,Perez,211.29326495726494,149.73383736263736
2021,82.1,0.7,Luis,Torrens,210.7785432399513,149.36907771010962
2021,78.1,0.7,Tucker,Barnhart,221.57385915492958,157.01922253521127
2021,78.9,0.69,Christian,Vázquez,219.32722940430924,155.42713916349805
2021,77.2,0.69,Austin,Wynns,224.15697409326424,158.84975751295335
2021,80.7,0.69,Chad,Wallach,214.43517224287484,151.9603628252788
2021,77.5,0.73,Cam,Gallagher,223.28926967741936,158.23485522580643
2021,84.3,0.79,Martín,Maldonado,205.27779833926454,145.47095231316726
2021,77.7,0.69,Daulton,Varsho,222.71452252252251,157.8275583011583
2021,78.6,0.71,Omar,Narváez,220.1643562340967,156.02037251908396
2021,79.0,0.7,Tres,Barrera,219.04959999999997,155.23039594936708
2021,84.5,0.81,Riley,Adams,204.79193372781066,145.1266423668639
2021,80.2,0.69,René,Rivera,215.77204987531172,152.90774663341645
2021,82.0,0.73,Will,Smith,211.03559024390245,149.5512351219512
2021,78.7,0.72,Max,Stassi,219.8846048284625,155.82212554002538
2021,83.5,0.78,Jonah,Heim,207.24453173652694,146.86468598802395
2021,80.5,0.72,James,McCann,214.96793043478263,152.3379040993789
2021,82.4,0.84,Ryan,Jeffers,210.01114563106793,148.82525825242718
2021,80.5,0.76,Kurt,Suzuki,214.96793043478263,152.3379040993789
2021,74.2,0.64,Tony,Wolters,233.21992452830187,165.2722544474393
2021,78.9,0.74,Austin,Nola,219.32722940430924,155.42713916349805
2021,78.9,0.77,Victor,Caratini,219.32722940430924,155.42713916349805
2021,78.5,0.73,Wilson,Ramos,220.44482038216563,156.21912458598726
2021,80.2,0.78,Mitch,Garver,215.77204987531172,152.90774663341645
2021,77.4,0.78,Keibert,Ruiz,223.57775710594316,158.4392930232558
2021,76.6,0.71,Alex,Avila,225.91277284595301,160.09401148825063
2021,79.5,0.75,William,Contreras,217.67192955974843,154.25410415094336
2021,79.0,0.73,Zack,Collins,219.04959999999997,155.23039594936708
2021,75.5,0.77,Chance,Sisco,229.20421721854302,162.42650701986753
2021,82.1,0.81,Michael,Perez,210.7785432399513,149.36907771010962
2021,82.1,0.78,Tom,Murphy,210.7785432399513,149.36907771010962
2021,81.3,0.79,Jacob,Stallings,212.8526248462485,150.83888413284132
2021,72.3,0.69,Stephen,Vogt,239.34880221300136,169.61550871369295
2021,78.8,0.75,Curt,Casali,219.60556345177667,155.6243817258883
2021,77.5,0.76,Yasmani,Grandal,223.28926967741936,158.23485522580643
2021,80.8,0.8,Travis,d'Arnaud,214.16978217821784,151.77229306930693
2021,75.6,0.7,Austin,Barnes,228.90103703703704,162.21165714285715
2021,74.0,0.71,Jose,Trevino,233.8502486486487,165.7189362162162
2021,77.8,0.74,Sandy,Leon,222.42825706940874,157.62469511568122
2021,76.1,0.81,Patrick,Mazeika,227.39708804204997,161.14587752956635
2021,81.4,0.82,Seby,Zavala,212.59113513513512,150.65357837837837
2021,76.0,0.76,Kevin,Plawecki,227.6962947368421,161.35791157894735
2020,87.2,0.69,J.T.,Realmuto,198.4508990825688,140.63304220183485
2020,84.1,0.76,Jacob,Nottingham,205.76597384066588,145.81689988109392
2020,87.6,0.81,Jorge,Alfaro,197.54473059360734,139.9908821917808
2020,84.6,0.75,Willson,Contreras,204.54986288416077,144.95509787234042
2020,86.4,0.72,Sean,Murphy,200.28840740740742,141.93519999999998
2020,82.4,0.74,Jason,Castro,210.01114563106793,148.82525825242718
2020,81.0,0.75,Salvador,Perez,213.64096790123457,151.39754666666667
2020,80.0,0.7,Chad,Wallach,216.31148,153.290016
2020,81.3,0.68,Austin,Hedges,212.8526248462485,150.83888413284132
2020,81.1,0.65,Mike,Zunino,213.37753884093712,151.21086658446364
