last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Houser, Adrian,605288,94.5,94.3,,87.9,85.4,80.6,,
Plutko, Adam,592644,91.1,,85.9,80,84.1,77.3,,
López, Pablo,641154,93.6,93.3,,,85.7,79.8,,
Strahm, Matt,621381,91.4,92.6,,86,84.3,80.2,,
Quantrill, Cal,615698,94.5,94.3,,86.4,84.6,79.5,,
Freeland, Kyle,607536,92,91.3,,86.7,86.6,81.2,,
Sabathia, CC,282332,88.8,89.1,88.3,79.2,82.7,,,
Cahill, Trevor,502239,91.8,91.7,85.8,,83.4,79.4,,
Heaney, Andrew,571760,,92.5,,,84.7,79.4,,
Milone, Tommy,543548,87.1,,,79.1,79.4,75.3,,
Rodríguez, Dereck,605446,90.7,89.9,86.6,,84.5,75.6,,
Gausman, Kevin,592332,93.9,,,82.3,82.6,,83.5,
Pivetta, Nick,601713,94.6,92.8,,85.7,87.5,80.5,,
Peralta, Freddy,642547,93.6,,,,89.9,77.2,,
Anderson, Shaun,641312,92.6,92.4,,86.3,86,77.8,,
Lambert, Peter,663567,92.7,92,,87.6,85.2,78,,
Montgomery, Mike,543557,91.6,92.3,87.7,,84.3,77.7,,
Peña, Félix,570240,91.2,91.5,,82.5,83.9,,,
Canning, Griffin,656288,93.9,,,88.9,89.1,82,,
Godley, Zack,643327,91.3,89.9,88.5,,83.3,81.8,,
Font, Wilmer,521655,94.4,93.7,,84.1,,76.4,84.7,
Clarke, Taylor,664199,93.7,93.1,,85.3,86.8,79.3,,
Peacock, Brad,502748,92.5,91.8,,81.3,83.4,78.6,,
Barría, Jaime,642545,91.7,91.6,,83.9,83.2,,,
Montas, Frankie,593423,96.8,96.4,,88.4,,,86.8,
Suarez, José,660761,91.7,,,81.4,81.7,75.8,,
Holland, Derek,502706,,92.3,,81.1,83.9,77.7,,
Wojciechowski, Asher,592879,91.5,,85.7,80.6,85.4,,,
Stripling, Ross,548389,90.6,88.8,88.5,86.3,82.7,79.8,,
Hernandez, Elieser,622694,90.6,89.3,,78.5,82.2,,,
Hess, David,605276,93,92.5,,83.4,85.5,77.3,,
Gaviglio, Sam,543208,,89.2,,84.3,82.5,79.8,,
González, Gio,461829,89.5,88.9,,,82.3,75.3,,
Gallen, Zac,668678,92.9,92.8,87,,85,79.2,,
Skaggs, Tyler,572140,91.3,,,,83.8,75.1,,
Yamamoto, Jordan,657141,91.5,90.8,85.9,79,82.9,74.7,,
Ureña, José,570632,94.8,95.8,,85.8,90.1,84.7,,
Cease, Dylan,656302,96.5,96.3,,84.7,83.1,79.5,,
Guerra, Junior,448855,94.6,94.8,,,,82.1,86,
Urías, Julio,628711,95.1,95.5,,84.6,82.2,77.3,,
Waguespack, Jacob,621097,92.3,90.2,89.2,85.8,83,78.7,,
Young, Alex,622065,89.8,89,84.9,,84.5,81.5,,
Ramirez, Nick,598286,90,89,86.7,,79.1,78.3,,
Hendriks, Liam,521230,96.5,93.7,,88.5,,84.4,,
Jackson, Edwin,429719,93.5,93.7,91.6,85.7,87,77.9,,
Chavez, Jesse,445926,91.4,91.1,88.2,86.4,85.2,83.5,,
Cessa, Luis,570666,94.6,93.8,,84.8,87.1,80.7,,
Barlow, Scott,605130,94.1,93.8,,83.8,87.3,77.2,,
Lorenzen, Michael,547179,97.2,96.4,93.8,87.1,87.4,83.8,,
Stanek, Ryne,592773,97.5,,,89.6,,,88.3,
McHugh, Collin,543521,90.8,88.3,87,79.5,83.8,74.5,,
Barnes, Matt,598264,96.6,,,,,85.5,88.1,
Fedde, Erick,607200,89.3,92.3,87.2,,85.3,79.2,,
Chatwood, Tyler,543022,96.1,95.7,90.2,,87.7,81.4,,
Bradley, Archie,605151,95.5,95.1,,,88.4,82.1,,
Green, Chad,643338,96.4,,,87.6,,,88.7,
Leclerc, José,600917,96.8,96.5,,82,89.8,76.9,,
Peters, Dillon,596071,91,91,,82.9,84,76.7,,
Carrasco, Carlos,471911,93.8,92.7,,84.7,87.8,81.2,,
Lugo, Seth,607625,94.5,94.1,,88.1,87.9,79.6,,
Eovaldi, Nathan,543135,97.5,,93.2,84.9,,80.5,87.9,
Hoffman, Jeff,656546,93.7,,,83.7,84.3,77.1,,
Pannone, Thomas,623381,89.7,,,84.4,83.4,73.7,,
Jackson, Luke,592426,96.1,,,87.7,83.7,83.8,,
Stammen, Craig,489334,91.8,92.8,87.5,,89.1,81.3,,
Stratton, Chris,608717,92.2,91.7,91,84.5,84.8,77.1,,
Workman, Brandon,519443,92.9,,87,,,80.6,,
Cortes, Nestor,641482,89.6,88.9,,81.5,82.4,71.2,,
Estévez, Carlos,608032,97.8,97.4,,87.7,90.5,,,
Walden, Marcus,519393,94.1,94,91.7,85.6,,,,
Castro, Miguel,612434,,97.3,,86.1,90.5,,,
Lamet, Dinelson,659275,95.9,96.3,,86.2,92.2,85.5,,
Hudson, Daniel,543339,96.2,95.6,,86.7,88.6,,,
Hernández, Félix,433587,89.9,89.4,,83.8,84.7,79.3,,
Brebbia, John,605154,93.5,,,83.7,87.2,,,
Buttrey, Ty,621142,97.1,95.3,,83.8,87.6,,,
Suero, Wander,593833,94.5,,92.9,,87.5,79.5,,
Andriese, Matt,542882,92.5,92.3,,85,86,80.9,,
Law, Derek,571882,94,,,84.7,85.8,76.8,,
Shaw, Bryan,543766,,,92.5,83.1,84,80.8,,
Diekman, Jake,518617,95.8,95.5,,85,90,,,
Newcomb, Sean,656794,94.3,,,81.4,87.4,78.8,,
Valdez, Framber,664285,94.2,92.6,,,88.6,79.4,,
May, Trevor,543507,95.5,96.7,,83.9,87.6,78.9,,
Detwiler, Ross,446321,91.6,90.7,88.6,83.8,84.9,78.1,,
Farmer, Buck,571656,95,,,82.4,88.1,,,
Chen, Wei-Yin,612672,91.4,89.7,,85.8,84,74.1,,
Rodríguez, Richard,593144,93.2,92.7,,81.6,86.9,,,
Agrazal, Dario,642607,90.8,91.1,,83,85.6,,,
González, Chi Chi,592346,92.4,91.5,86.9,82,86.5,,,
Devenski, Chris,606965,94.7,,,81.6,84,,,
Biagini, Joe,607352,93.8,94.1,87.8,,87.1,77,,
Robles, Hansel,570663,97.2,96.7,,89.1,89.5,,,
Hader, Josh,623352,,95.5,,81.9,86.8,,,
Ross, Joe,605452,94.1,94,,88,87.9,81.3,,
Petit, Yusmeiro,433589,89.1,,85.4,,81.5,76.4,,
